Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,Earning Growth,MCap,P/B,DY,D/E,PEG
2021-11-22,HDFCLIFE.NS,664.32056,703.05151,660.80401,700.22844,10463642,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-11-29,HDFCLIFE.NS,684.42896,700.57511,652.58236,663.28042,23856412,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-12-06,HDFCLIFE.NS,678.28741,692.25432,673.82988,684.47843,10192936,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-12-13,HDFCLIFE.NS,650.40308,681.90300,648.22389,678.53507,9883066,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-12-20,HDFCLIFE.NS,631.33478,647.82766,621.08248,647.82766,8659760,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-12-27,HDFCLIFE.NS,643.41968,648.81825,624.15323,629.00701,6782842,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-01-03,HDFCLIFE.NS,654.06818,656.69319,638.81356,647.82765,12229687,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-01-10,HDFCLIFE.NS,665.11298,670.01627,650.05642,659.71440,8157518,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-01-17,HDFCLIFE.NS,635.39618,672.39366,627.37259,664.66728,8573936,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-01-24,HDFCLIFE.NS,614.59436,633.81123,611.17691,633.81123,7688885,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-01-31,HDFCLIFE.NS,618.45752,641.19094,609.64155,619.59669,15509959,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-02-07,HDFCLIFE.NS,589.73120,617.81368,584.87748,614.24762,16419191,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-02-14,HDFCLIFE.NS,585.37274,591.86091,546.39408,582.45057,24597459,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-02-21,HDFCLIFE.NS,533.81396,583.83735,524.05689,578.04253,17900565,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-02-28,HDFCLIFE.NS,516.57819,558.18180,504.24567,526.97909,62250176,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-03-07,HDFCLIFE.NS,513.90369,524.75036,492.35896,500.23394,29099053,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-03-14,HDFCLIFE.NS,525.14655,527.87059,498.00512,515.09232,26674717,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-03-21,HDFCLIFE.NS,514.64661,529.25740,511.62540,527.77156,16242630,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-03-28,HDFCLIFE.NS,545.15588,546.19602,500.33297,511.22913,24745257,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-04-04,HDFCLIFE.NS,559.46948,591.91039,547.63225,554.71480,40893834,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-04-11,HDFCLIFE.NS,559.51898,567.39396,555.16054,559.61807,9866455,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-04-18,HDFCLIFE.NS,548.82098,574.42705,535.89416,555.21012,17816784,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-04-25,HDFCLIFE.NS,576.90350,588.39400,530.94139,546.79039,35995039,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-05-02,HDFCLIFE.NS,560.60864,580.22176,549.76198,572.00011,14442313,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-05-09,HDFCLIFE.NS,545.55212,570.26666,539.16299,552.88231,17245346,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-05-16,HDFCLIFE.NS,539.55927,553.27853,520.44143,546.88939,12302126,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-05-23,HDFCLIFE.NS,592.45520,598.59670,537.52858,538.86581,24511292,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-05-30,HDFCLIFE.NS,597.01178,611.62257,585.62032,599.93395,24833614,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-06-06,HDFCLIFE.NS,589.14734,610.40475,587.60768,597.93840,11440164,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-06-13,HDFCLIFE.NS,547.12915,586.06791,543.75185,577.67422,16364670,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-06-20,HDFCLIFE.NS,557.70825,562.02924,542.21218,547.32788,6090569,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-06-27,HDFCLIFE.NS,561.68158,568.68458,534.01715,560.48956,17481400,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-07-04,HDFCLIFE.NS,541.71552,577.32663,539.82821,561.68160,15384084,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-07-11,HDFCLIFE.NS,536.30188,545.44052,529.05048,539.38120,7956036,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-07-18,HDFCLIFE.NS,531.43451,542.31155,515.59080,540.77189,23724797,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-07-25,HDFCLIFE.NS,551.79785,556.26786,516.18680,530.44114,46026088,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-08-01,HDFCLIFE.NS,535.65619,556.46658,522.99116,556.26790,24826742,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-08-08,HDFCLIFE.NS,541.31818,544.69548,532.22913,537.39449,11395804,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-08-15,HDFCLIFE.NS,572.80695,594.95832,541.31820,541.31820,29672474,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-08-22,HDFCLIFE.NS,563.12189,577.62456,556.26785,572.80691,14932590,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-08-29,HDFCLIFE.NS,571.01892,582.19395,550.40721,551.30123,12413975,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-09-05,HDFCLIFE.NS,572.11163,584.97534,565.10863,570.17462,11395700,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-09-12,HDFCLIFE.NS,543.10620,601.86202,541.26855,574.14794,24995367,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-09-19,HDFCLIFE.NS,535.85486,560.78756,533.52048,546.33454,20843517,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-09-26,HDFCLIFE.NS,526.91479,532.87481,506.60107,531.43446,19178351,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-10-03,HDFCLIFE.NS,523.33881,535.60654,514.59747,527.01416,11004692,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-10-10,HDFCLIFE.NS,519.51447,531.43449,514.54779,522.29579,10783972,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-10-17,HDFCLIFE.NS,538.33820,544.64585,515.14378,518.52114,12885946,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-10-24,HDFCLIFE.NS,526.56714,543.35453,524.77915,543.15585,8808678,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-10-31,HDFCLIFE.NS,535.70581,547.22854,528.55378,529.24913,9129347,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-11-07,HDFCLIFE.NS,539.03357,549.31457,523.48784,536.40121,13032271,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-11-14,HDFCLIFE.NS,528.00745,541.56650,521.55077,541.36782,12357240,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-11-21,HDFCLIFE.NS,582.69061,586.06798,525.02750,527.95785,30643144,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-11-28,HDFCLIFE.NS,585.91895,596.89535,578.27031,580.80330,18492905,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-12-05,HDFCLIFE.NS,575.73724,591.43199,567.74090,587.95532,14197319,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-12-12,HDFCLIFE.NS,571.36664,583.33632,567.74094,571.36664,12538652,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-12-19,HDFCLIFE.NS,561.68158,585.96865,560.39026,571.11827,13480170,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2022-12-26,HDFCLIFE.NS,562.47626,570.37329,555.42360,558.75125,10010093,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-01-02,HDFCLIFE.NS,607.57373,616.46404,557.50959,561.23460,29781640,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-01-09,HDFCLIFE.NS,600.47137,613.93106,590.38899,610.95105,17250968,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-01-16,HDFCLIFE.NS,586.61426,608.51729,584.32960,600.96797,15140320,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-01-23,HDFCLIFE.NS,583.78326,592.47495,574.19755,591.03460,11179625,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-01-30,HDFCLIFE.NS,485.64172,588.40226,477.79438,582.88926,56452563,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-02-06,HDFCLIFE.NS,519.06744,524.87849,470.54303,483.75438,41886994,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-02-13,HDFCLIFE.NS,500.88947,522.49451,498.15779,519.06749,14091120,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-02-20,HDFCLIFE.NS,479.63205,519.26613,478.78771,502.92575,18121464,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-02-27,HDFCLIFE.NS,486.68475,489.26740,474.81438,479.63207,13053270,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-03-06,HDFCLIFE.NS,486.98276,493.43944,480.97309,488.72109,13317192,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-03-13,HDFCLIFE.NS,468.10938,492.19776,454.74900,486.73442,31905847,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-03-20,HDFCLIFE.NS,488.96939,501.63442,455.04699,466.86768,24819282,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-03-27,HDFCLIFE.NS,495.87314,497.85981,483.40676,483.40676,11503019,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-04-03,HDFCLIFE.NS,511.22015,513.45516,497.90943,498.70409,9082305,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-04-10,HDFCLIFE.NS,528.30548,529.94451,506.15411,511.22016,12150476,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-04-17,HDFCLIFE.NS,509.87912,538.88453,507.99179,538.88453,13568428,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-04-24,HDFCLIFE.NS,526.21948,551.84753,512.61077,547.32786,46373190,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-05-01,HDFCLIFE.NS,536.10321,546.08622,526.02083,526.21951,11586922,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-05-08,HDFCLIFE.NS,556.91357,565.60526,536.40117,538.38784,10143188,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-05-15,HDFCLIFE.NS,553.88385,565.00922,548.71855,556.16857,9637235,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-05-22,HDFCLIFE.NS,573.35327,574.99224,550.80454,553.28788,9705984,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-05-29,HDFCLIFE.NS,572.55865,599.67670,567.19462,573.45262,20328143,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-06-05,HDFCLIFE.NS,577.82330,593.41868,564.11528,574.19760,13704456,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-06-12,HDFCLIFE.NS,605.48767,610.90136,570.17460,582.04498,25457052,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-06-19,HDFCLIFE.NS,624.77533,657.71330,600.05933,607.88276,33913543,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-06-26,HDFCLIFE.NS,648.99292,671.71563,614.65967,617.84883,64392278,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-07-03,HDFCLIFE.NS,655.86951,676.69870,641.86714,648.79359,22222362,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-07-10,HDFCLIFE.NS,667.77905,688.50855,656.81633,657.76313,21864292,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-07-17,HDFCLIFE.NS,645.10614,672.56275,631.50244,670.66923,21880780,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-07-24,HDFCLIFE.NS,657.06549,665.98517,643.86040,651.38480,19407444,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-07-31,HDFCLIFE.NS,640.02344,652.78004,626.96780,649.79021,14347655,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-08-07,HDFCLIFE.NS,631.45258,652.63056,629.85802,642.81396,10156515,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-08-14,HDFCLIFE.NS,623.82849,635.83764,614.65966,629.95761,7919638,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-08-21,HDFCLIFE.NS,626.17053,651.83326,620.88851,622.88173,14395726,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-08-28,HDFCLIFE.NS,639.17627,645.80376,622.53292,626.86815,13792410,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2023-09-04,HDFCLIFE.NS,655.22174,658.56036,631.85121,642.81392,12085552,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
