Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,MCap,P/B,DY,D/E,PEG
2022-03-15,JSWSTEEL.NS,614.51031,641.15002,660.79999,635.00000,4754984,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-16,JSWSTEEL.NS,628.02441,655.25000,662.75000,647.50000,3150421,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-17,JSWSTEEL.NS,656.63409,685.09998,692.95001,660.34998,9991824,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-21,JSWSTEEL.NS,652.99200,681.29999,699.00000,679.00000,4609771,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-22,JSWSTEEL.NS,667.56055,696.50000,699.90002,677.45001,4811589,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-23,JSWSTEEL.NS,675.13226,704.40002,710.00000,692.25000,8964532,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-24,JSWSTEEL.NS,685.38763,715.09998,719.50000,704.20001,6069039,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-25,JSWSTEEL.NS,691.37793,721.34998,726.50000,710.25000,16121868,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-28,JSWSTEEL.NS,699.76434,730.09998,731.45001,718.15002,8935680,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-29,JSWSTEEL.NS,722.57556,753.90002,764.75000,726.65002,7285191,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-30,JSWSTEEL.NS,687.73590,717.54999,750.70001,714.95001,5994838,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-31,JSWSTEEL.NS,702.20850,732.65002,737.50000,720.54999,5946576,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-01,JSWSTEEL.NS,701.77716,732.20001,749.95001,728.50000,5079937,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-04,JSWSTEEL.NS,702.25641,732.70001,738.00000,726.79999,4901374,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-05,JSWSTEEL.NS,702.97522,733.45001,746.00000,730.15002,3524949,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-06,JSWSTEEL.NS,706.76111,737.40002,746.50000,729.79999,4111360,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-07,JSWSTEEL.NS,697.79956,728.04999,742.75000,725.75000,2954985,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-08,JSWSTEEL.NS,725.16333,756.59998,762.04999,731.20001,8125253,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
